"stid","seq","moved_uty","treatment","expunge","white","female","age_enroll","income","income_lag","house_sat","move_deter","unemployed","unemploy_lag","ps_employed","ps_moved","local_unemploy","married","dependent","year"
"KSSTID0144",5,0,0,0,1,1,55,9.06403516908647,9.35572646910156,3,,0,0,1,0,2.183333333,1,0,2022
"KSSTID0144",6,0,0,0,1,1,55,9.39176402577587,9.06403516908647,4,,0,0,1,0,2.216666667,1,0,2022
"KSSTID0145",1,1,1,0,0,0,30,8.61238154561831,8.98861456518709,,0,0,0,1,0,4.366666667,1,1,2021
"KSSTID0145",2,0,1,0,0,0,30,9.40069127379674,8.61238154561831,2,,0,0,1,0,3.9,1,1,2021
"KSSTID0145",3,1,1,1,0,0,30,8.92045988478057,9.40069127379674,,,0,0,1,0,3.666666667,1,1,2021
"KSSTID0145",4,0,1,1,0,0,30,7.66834145772631,8.92045988478057,2,0,0,0,1,0,2.466666667,1,1,2021
"KSSTID0145",5,1,1,1,0,0,30,7.66398523409458,7.66834145772631,,,0,0,1,0,2.833333333,0,1,2022
"KSSTID0145",6,0,1,1,0,0,30,8.11886555087694,7.66398523409458,,,0,0,1,0,2.6,0,1,2022
"KSSTID0146",1,0,1,0,1,0,29,9.0907840149144,9.31833252184514,3,0,0,0,1,0,2.95,0,0,2021
"KSSTID0146",2,0,1,0,1,0,29,9.07512756656912,9.0907840149144,3,0,0,0,1,0,2.766666667,0,0,2021
"KSSTID0146",3,0,1,1,1,0,29,9.30327773888525,9.07512756656912,3,0,0,0,1,0,2.933333333,0,0,2021
"KSSTID0146",4,0,1,1,1,0,29,9.324807694504,9.30327773888525,3,0,0,0,1,0,1.833333333,0,0,2021
"KSSTID0146",5,0,1,1,1,0,29,9.14660792587282,9.324807694504,2,0,0,0,1,0,2.183333333,0,0,2022
"KSSTID0146",6,0,1,1,1,0,29,9.71864361721851,9.14660792587282,3,0,0,0,1,0,2.883333333,0,0,2022
"KSSTID0147",1,1,0,0,0,0,59,0,0,4,0,1,1,1,1,5.7,1,0,2021
"KSSTID0147",2,0,0,0,0,0,59,0,0,3,0,1,1,1,1,5.066666667,1,0,2021
"KSSTID0147",3,0,0,0,0,0,59,0,0,4,0,1,1,1,1,4.633333333,0,0,2021
"KSSTID0147",4,0,0,0,0,0,59,0,0,3,0,1,1,1,1,3.366666667,1,0,2022
"KSSTID0147",5,0,0,0,0,0,59,0,0,3,0,1,1,1,1,2.966666667,1,0,2022
"KSSTID0147",6,0,0,0,0,0,59,0,0,3,0,1,1,1,1,3.333333333,1,0,2022
"KSSTID0148",1,1,0,0,1,1,30,0,0,2,1,1,1,1,1,4.733333333,0,0,2021
"KSSTID0148",2,0,0,0,1,1,30,0,0,2,0,1,1,1,1,4.6,0,0,2021
"KSSTID0148",3,0,0,0,1,1,30,0,0,2,0,1,1,1,1,4.4,0,0,2021
"KSSTID0148",4,0,0,0,1,1,30,4.61512051684126,0,2,0,0,1,1,1,3.2,0,0,2022
"KSSTID0148",5,1,0,0,1,1,30,0,4.61512051684126,2,0,1,0,1,1,3,1,0,2022
"KSSTID0148",6,0,0,0,1,1,30,0,0,2,0,1,1,1,1,3.533333333,0,0,2022
"KSSTID0149",1,1,1,0,1,1,30,8.20222487916232,8.14826057103436,3,0,0,0,1,1,2.266666667,0,0,2021
"KSSTID0149",2,0,1,0,1,1,30,8.65869275368994,8.20222487916232,3,0,0,0,1,1,2.216666667,0,0,2021
"KSSTID0149",3,1,1,1,1,1,30,9.30111665281267,8.65869275368994,4,0,0,0,1,1,2.5,1,0,2021
"KSSTID0149",4,0,1,1,1,1,30,8.92674991742765,9.30111665281267,4,0,0,0,1,1,2.05,0,0,2022
"KSSTID0149",5,0,1,1,1,1,30,8.78916043014749,8.92674991742765,4,0,0,0,1,1,2.116666667,1,0,2022
"KSSTID0149",6,0,1,1,1,1,30,8.71654228667671,8.78916043014749,4,0,0,0,1,1,2.6,0,0,2022
"KSSTID0150",1,0,1,0,0,0,50,8.52297643617196,5.85458469751056,1,,1,0,0,0,5.7,0,0,2021
