"stid","seq","income_ratio","treatment","expunge","white","female","age_enroll","unemploy_lag","local_unemploy","ps_employed","married","dependent","year","pe_income_avg"
25,-4,1.07813295740365,0,0,1,1,47,0,3.733333333,1,0,1,2019,14925.66375
25,5,0.46599468650096,0,0,1,1,47,0,5.066666667,1,0,1,2021,14925.66375
25,1,1.36083351670039,0,0,1,1,47,0,14.46666667,1,0,1,2020,14925.66375
25,0,1.04958816320648,0,0,1,1,47,0,3.7,1,0,1,2020,14925.66375
25,7,0.716996354684729,0,0,1,1,47,0,3.066666667,1,0,1,2021,14925.66375
25,6,1.12933001053303,0,0,1,1,47,0,4.633333333,1,0,1,2021,14925.66375
25,-6,0.882863919535907,0,0,1,1,47,0,3.666666667,1,0,1,2018,14925.66375
25,3,0.66073309470073,0,0,1,1,47,0,6.533333333,1,0,1,2020,14925.66375
25,2,1.01532077325539,0,0,1,1,47,0,9.1,1,0,1,2020,14925.66375
25,-5,0.828992948471052,0,0,1,1,47,0,3.133333333,1,0,1,2018,14925.66375
25,-8,0.91169010825398,0,0,1,1,47,,4,1,0,1,2018,14925.66375
25,4,0.708704160644112,0,0,1,1,47,0,5.7,1,0,1,2021,14925.66375
25,-1,1.42572218940682,0,0,1,1,47,0,2.966666667,1,0,1,2019,14925.66375
28,-8,1.255354005882,0,0,1,1,26,,3.766666667,1,0,0,2018,506.63
28,-7,0.283757377178612,0,0,1,1,26,0,3.4,1,0,0,2018,506.63
28,-6,0.0142115547835699,0,0,1,1,26,0,3.4,1,0,0,2018,506.63
28,-5,2.3194441703018,0,0,1,1,26,0,2.9,1,0,0,2018,506.63
28,-4,0,0,0,1,1,26,0,3.433333333,1,0,0,2019,506.63
28,-3,0.961431419379034,0,0,1,1,26,1,3.1,1,0,0,2019,506.63
28,-2,2.1069024732053,0,0,1,1,26,0,3.366666667,1,0,0,2019,506.63
