"stid","seq","unemployed","treatment","expunge","white","female","age_enroll","total_income","income","income_lag","unemploy_lag","ps_employed","local_unemploy","married","dependent","year"
"KSSTID0012",-2,0,0,0,0,0,39,3262.52195,8.09056224396042,8.18543061292393,0,1,4.1,1,1,2019
"KSSTID0012",-1,0,0,0,0,0,39,4172.55,8.33652227157125,8.09056224396042,0,1,4.45,1,1,2019
"KSSTID0012",0,0,0,0,0,0,39,3274.15,8.09411894854721,8.33652227157125,0,1,3.683333333,1,1,2019
"KSSTID0012",1,0,0,0,0,0,39,5703.31,8.64897730844343,8.09411894854721,0,1,4.266666667,1,1,2020
"KSSTID0012",2,0,0,0,0,0,39,5907.44,8.68413711616587,8.64897730844343,0,1,8.483333333,1,1,2020
"KSSTID0012",3,0,0,0,0,0,39,5699.2,8.64825654092638,8.68413711616587,0,1,5.45,1,1,2020
"KSSTID0012",4,0,0,0,0,0,39,6137.6,8.72235198211295,8.64825654092638,0,1,3.9,1,1,2020
"KSSTID0012",5,0,0,0,0,0,39,5554,8.62245370207373,8.72235198211295,0,1,3.85,1,1,2021
"KSSTID0012",6,0,0,0,0,0,39,6311.31,8.75025697412073,8.62245370207373,0,1,3.666666667,1,1,2021
"KSSTID0012",7,0,0,0,0,0,39,6363.84,8.75854437320501,8.75025697412073,0,1,3.716666667,1,1,2021
"KSSTID0013",1,1,0,0,1,1,38,240.3,5.48604097263099,8.50207549268424,0,,3.833333333,1,1,2020
"KSSTID0013",7,1,0,1,1,1,38,0,0,0,1,,3.2,1,0,2021
"KSSTID0013",3,1,0,1,1,1,38,4923.9,8.50205924883152,8.04715756165849,1,,5.066666667,1,1,2020
"KSSTID0013",-6,0,0,0,1,1,38,714.37,6.57279989136359,0,1,,3.433333333,0,1,2018
"KSSTID0013",2,1,0,0,1,1,38,3123.9,8.04715756165849,5.48604097263099,1,,7.6,1,1,2020
"KSSTID0013",-7,1,0,0,1,1,38,0,0,0,1,,4.266666667,0,1,2018
"KSSTID0013",5,1,0,1,1,1,38,0,0,6.58188662514512,1,,3.766666667,1,0,2021
"KSSTID0013",-8,1,0,0,1,1,38,0,0,,,,3.1,0,1,2017
"KSSTID0013",6,1,0,1,1,1,38,0,0,0,1,,3.233333333,1,0,2021
"KSSTID0013",-5,0,0,0,1,1,38,2422.85,7.79311246408637,6.57279989136359,0,,3.533333333,0,1,2018
"KSSTID0013",-2,0,0,0,1,1,38,5319.03,8.57923422141753,8.5558829944309,0,,3.066666667,0,1,2019
"KSSTID0013",-4,0,0,0,1,1,38,6299.2,8.74833665790748,7.79311246408637,0,,3.166666667,0,1,2018
"KSSTID0013",-3,0,0,0,1,1,38,5196.24,8.5558829944309,8.74833665790748,0,,4.2,0,1,2019
"KSSTID0013",0,0,0,0,1,1,38,4923.98,8.50207549268424,8.45543905694048,0,,2.8,0,1,2019
"KSSTID0013",-1,0,0,0,1,1,38,4699.57,8.45543905694048,8.57923422141753,0,,3.266666667,0,1,2019
"KSSTID0013",4,1,0,1,1,1,38,720.9,6.58188662514512,8.50205924883152,1,,3.6,1,1,2020
"KSSTID0014",-8,0,1,0,1,0,26,4393.26,8.38805442279162,,,1,2.483333333,0,0,2017
"KSSTID0014",-7,0,1,0,1,0,26,4496.42,8.41125917800668,8.38805442279162,0,1,2.983333333,0,0,2018
"KSSTID0014",-6,0,1,0,1,0,26,5417.89,8.59764627641194,8.41125917800668,0,1,2.816666667,0,0,2018
"KSSTID0014",-5,0,1,0,1,0,26,6419.89,8.76731201635934,8.59764627641194,0,1,2.75,0,0,2018
"KSSTID0014",-4,0,1,0,1,0,26,4583,8.43032725839458,8.76731201635934,0,1,2.4,0,0,2018
"KSSTID0014",-3,0,1,0,1,0,26,5574.22,8.62608705743313,8.43032725839458,0,1,3,0,0,2019
"KSSTID0014",-2,0,1,0,1,0,26,4596.46,8.43325925605999,8.62608705743313,0,1,2.666666667,0,0,2019
"KSSTID0014",-1,0,1,0,1,0,26,4625.78,8.43961644076991,8.43325925605999,0,1,2.866666667,0,0,2019
"KSSTID0014",0,0,1,0,1,0,26,4114.08,8.32241355399145,8.43961644076991,0,1,2.316666667,0,0,2019
"KSSTID0014",1,0,1,0,1,0,26,3799.3952,8.24286034030685,8.32241355399145,0,1,2.983333333,0,0,2020
"KSSTID0014",2,1,1,1,1,0,26,11197.81487,9.32356323650579,8.24286034030685,0,1,6.433333333,0,0,2020
"KSSTID0014",3,1,1,1,1,0,26,261.37037,5.56975713148676,9.32356323650579,1,1,4.483333333,0,0,2020
"KSSTID0014",4,0,1,1,1,0,26,932.36,6.8387909785156,5.56975713148676,1,1,3.15,0,0,2020
